"period","author","text","femin_iotated","femin_approx","femin_nonexact","masc_closed_nonexact","masc_open_nonexact","masc_closed_open","base_sound"
1935,"BraunN",,5.1,31,26.4,0.6,3.4,1.4,28
1926,"Zabolotskii",,2.5,22.9,25.5,3.5,19.7,11.4,5
1954,"Zabolotskii",,1.1,25.3,7.4,0.4,1.9,,23
1924,"Saianov",,7.1,39.6,20.5,7,2.1,4.2,43
1955,"Saianov","Kolobovy",6.9,29.1,18.4,2,0.7,,16.5
1924,"Utkin",,8.4,51.4,58.2,9.6,5.8,21.7,33
1941,"Utkin",,7.3,39,43.6,2.7,3,2,51
1923,"Svetlov",,5.2,51.8,56.2,14.6,9.8,53.6,
1926,"Svetlov",,4.8,41.4,39.6,4.8,5.1,16.5,35.5
1957,"Svetlov",,9,54.3,17.6,2.7,2.3,,40
1923,"Golodny",,7,41.4,50.9,2,9,44.9,
1926,"Golodny",,8.2,48,31.8,2.1,,7,
1923,"Zharov",,8.8,49.5,39.8,9.9,3.3,25.4,23.5
1937,"Zharov",,4.9,38,33.6,1.6,2.5,,26.5
1937,"Martynov","Iskatel raia",1.8,30.8,5.5,,1.1,,35.5
1963,"Martynov",,1.7,37.3,15,8.8,3.2,,50
1930,"Kirsanov","Piatiletka",2,20.8,63.6,36.1,20.2,48.8,85
1950,"Kirsanov","Makar Mazai",6.1,28.9,42.6,21.6,17.2,39.3,
1961,"Kirsanov",,5.7,24.1,44.3,22.1,18.9,17.4,72.5
1950,"Shalamov","Ognivo",6.9,41.2,23.9,1.8,0.8,2.3,32
1941,"Tarkovskii",,11.3,29.3,2.5,,0.8,,27
1931,"Kornilov",,0.7,27.6,18.9,6,5.6,0.4,54
1938,"Kedrin","Rembrandt",8.2,43.2,27.8,4.9,0.7,2.6,34.5
1935,"Gusev","Slava",3.5,38.4,47.6,17.7,5.9,26.6,31.5
1940,"Gusev","Vesna v Moskve",2.5,23.1,31.1,10.2,5.2,12,44.5
1933,"Rylenkov",,1.5,30.9,10.3,0.6,4.6,1.5,42
1946,"Rylenkov",,1.3,38.3,11,1.7,1,,38.5
1928,"Altauzen","Bezusii entuziast",6.4,30.9,19.1,2.5,1.1,4.4,33
1941,"Berggolts",,7.4,36.8,51.8,14.2,0.9,32.9,28
1950,"Berggolts","Pervorossiiskaia",7.8,46.5,48.2,7.5,,17.4,
1933,"VasilievP","Solianoi bunt",6.8,44.9,26.9,2.6,8.9,7.8,30
1936,"Gribachev","poemy",0.3,32.4,62.1,17.2,13.7,1.7,45
1947,"Gribachev","Kolkhoz Bolshevik",3,36.6,37.2,8,10.3,,
1969,"Gribachev",,2.2,32.4,41.4,13.5,8.3,,
1930,"Tvardovskii","Put k socializmu",2.1,38.8,39.3,21.6,10.2,10.9,
1935,"Tvardovskii",,18.1,24.4,31.9,3.2,6,,18.5
1941,"Tvardovskii","Vasilii Terki",12.8,36.3,33.4,4.4,7,,25.5
1950,"Tvardovskii","Za daliiu dal",11.4,25.4,23.6,6.1,6.9,,28.5
1951,"VasilievS",,2.9,29.1,13.1,0.9,3.8,,33.5
1941,"Sofronov",,8.4,30,37.6,3.1,7.1,0.6,28.5
1945,"Komarov",,1.3,48,16.3,4,6.1,1.5,
1956,"Ostrovoi",,1.9,21.4,4.9,0.9,0.6,,
1951,"Oshanin",,11.9,44.8,35,1.1,2.4,,23.5
1958,"Lisianskii","Petia Klypa",8.3,17.7,35,0.8,4.3,0.6,
1945,"Mikhalkov",,2.4,92.4,3.7,0.5,0.9,,
1962,"Ruchiev","Liubava",7,31.6,34.6,3.2,4.2,10.7,34
